"index" "risk" "risk_base" "risk_percent_diff" "risk_percent_point_diff" "risk_relative"
"30femalebasic00000" 0.3 0.2 50 0.1 1.5
"30femalebasic00001" 0.4 0.2 100 0.2 2
"30femalebasic00010" 0.6 0.2 200 0.4 3
"30femalebasic00011" 0.9 0.2 350 0.7 4.5
"30femalebasic00100" 1.6 0.2 700 1.4 8
"30femalebasic00101" 2.5 0.2 1150 2.3 12.5
"30femalebasic00110" 3.4 0.2 1600 3.2 17
"30femalebasic00111" 5.1 0.2 2450 4.9 25.5
"30femalebasic01000" 0.5 0.2 150 0.3 2.5
"30femalebasic01001" 0.7 0.2 250 0.5 3.5
"30femalebasic01010" 1 0.2 400 0.8 5
"30femalebasic01011" 1.5 0.2 650 1.3 7.5
"30femalebasic01100" 2.7 0.2 1250 2.5 13.5
"30femalebasic01101" 4 0.2 1900 3.8 20
"30femalebasic01110" 5.6 0.2 2700 5.4 28
"30femalebasic01111" 8.3 0.2 4050 8.1 41.5
"30femalebasic10000" 0.6 0.2 200 0.4 3
"30femalebasic10001" 0.8 0.2 300 0.6 4
"30femalebasic10010" 1.3 0.2 550 1.1 6.5
"30femalebasic10011" 1.6 0.2 700 1.4 8
"30femalebasic10100" 3 0.2 1400 2.8 15
"30femalebasic10101" 3.7 0.2 1750 3.5 18.5
"30femalebasic10110" 6.3 0.2 3050 6.1 31.5
"30femalebasic10111" 7.7 0.2 3750 7.5 38.5
"30femalebasic11000" 1 0.2 400 0.8 5
"30femalebasic11001" 1.3 0.2 550 1.1 6.5
"30femalebasic11010" 2.1 0.2 950 1.9 10.5
"30femalebasic11011" 2.6 0.2 1200 2.4 13
"30femalebasic11100" 5 0.2 2400 4.8 25
"30femalebasic11101" 6.1 0.2 2950 5.9 30.5
"30femalebasic11110" 10.1 0.2 4950 9.9 50.5
"30femalebasic11111" 12.3 0.2 6050 12.1 61.5
"30femalepostgraduate00000" 0.2 0.2 0 0 1
"30femalepostgraduate00001" 0.2 0.2 0 0 1
"30femalepostgraduate00010" 0.3 0.2 50 0.1 1.5
"30femalepostgraduate00011" 0.5 0.2 150 0.3 2.5
"30femalepostgraduate00100" 1 0.2 400 0.8 5
"30femalepostgraduate00101" 1.5 0.2 650 1.3 7.5
"30femalepostgraduate00110" 2 0.2 900 1.8 10
"30femalepostgraduate00111" 3 0.2 1400 2.8 15
